,ENSG00000111206,ENSG00000254480,ENSG00000167881,ENSG00000118197,ENSG00000140563,ENSG00000243660,ENSG00000100982,ENSG00000221837,ENSG00000112983,ENSG00000196712
0,3.977,2.931,8.5,7.484,3.631,3.289,3.473,3.343,7.707,3.563
1,3.416,2.617,8.748,6.245,3.723,3.199,4.084,3.413,7.306,3.549
2,3.615,2.657,8.329,5.319,3.144,2.91,3.789,3.245,7.666,3.38
3,4.688,3.035,9.413,5.465,3.661,2.689,3.714,3.351,7.156,4.036
4,4.226,3.141,8.518,6.371,3.125,3.22,3.781,3.035,7.085,3.909
5,5.839,2.772,8.678,6.375,3.349,2.983,3.258,3.462,7.557,4.096
6,5.382,2.785,8.867,6.144,3.252,3.158,3.957,3.375,7.927,3.583
7,5.223,2.793,9.078,6.341,3.142,3.455,3.368,3.094,7.374,3.652
8,4.671,3.021,8.691,5.38,3.801,3.293,3.992,3.196,7.517,3.338
9,4.716,2.484,9.289,4.779,3.784,2.997,3.508,3.339,7.684,3.602
10,4.791,2.824,8.631,5.115,3.683,2.941,3.737,3.312,6.98,3.682
11,5.118,2.683,8.99,5.097,3.11,3.003,3.371,3.375,7.446,3.676
12,3.652,2.779,9.154,5.399,3.079,3.431,3.713,3.257,7.698,4.074
13,3.899,3.183,8.912,6.905,3.189,3.383,3.558,3.514,7.351,3.588
14,3.322,3.0,8.769,5.817,3.439,3.042,3.267,3.295,7.051,3.839
15,3.308,2.72,8.949,7.67,3.086,2.886,3.588,3.118,7.855,3.722
16,4.054,2.939,9.196,6.498,3.68,3.587,3.667,3.116,6.723,3.56
17,3.415,2.989,8.881,6.839,3.099,3.602,3.356,3.39,7.418,4.013
18,5.238,2.54,9.043,5.573,3.045,2.881,3.816,2.844,7.579,3.399
19,4.563,2.728,8.928,5.182,4.001,3.401,3.375,3.125,7.782,3.532
20,4.195,2.511,8.362,6.179,3.376,2.988,3.431,3.314,6.85,3.57
21,4.785,2.857,8.901,6.198,4.724,2.831,3.397,3.231,6.797,3.65
22,4.081,2.912,9.104,7.001,3.07,3.071,3.742,3.38,7.134,4.012
23,4.367,3.465,9.885,5.958,3.483,2.93,3.236,3.611,7.608,3.298
24,3.535,2.809,9.301,5.844,3.99,2.967,3.434,3.484,7.611,3.841
25,3.427,2.584,8.873,5.354,3.548,3.35,3.371,2.952,6.846,3.636
26,4.624,2.995,8.802,6.566,3.393,2.843,3.601,3.343,7.22,3.71
27,4.947,2.82,9.24,6.482,3.179,2.773,3.878,3.138,7.723,3.676
28,5.369,3.021,9.399,5.743,3.015,3.481,4.08,3.403,7.621,3.663
29,5.714,2.928,9.319,5.936,3.235,2.884,3.442,3.245,7.062,3.717
30,3.606,2.73,9.13,6.943,3.806,2.974,3.121,3.125,7.531,3.717
31,5.091,2.699,8.925,6.079,3.149,3.21,3.547,3.197,8.85,3.815
32,3.64,2.894,8.955,6.695,3.175,2.713,3.502,2.782,7.462,3.493
33,3.785,2.669,8.532,6.047,3.319,3.238,3.455,3.684,7.486,3.567
34,3.339,2.558,8.592,6.926,3.271,3.497,3.572,3.019,7.614,3.491
35,4.245,2.684,8.86,6.595,3.145,2.958,3.444,3.176,7.22,3.531
36,3.994,2.876,8.726,6.95,3.492,2.813,3.638,3.17,6.334,3.716
37,3.567,2.617,8.765,5.182,3.069,2.934,4.028,3.227,7.848,3.897
38,5.322,2.655,9.48,7.541,4.148,3.041,3.727,3.436,7.757,3.593
39,3.467,2.934,8.677,5.628,3.578,3.379,3.641,4.301,7.557,3.698
40,3.489,2.796,8.944,7.992,6.945,2.869,3.707,3.373,7.14,3.822
41,5.441,2.756,9.184,5.904,4.291,2.872,4.039,3.266,7.784,3.812
42,3.079,3.134,9.184,6.906,3.117,3.259,3.537,3.259,7.489,3.532
43,4.853,2.811,9.201,6.16,3.769,3.615,3.591,3.66,6.922,4.134
44,4.563,2.913,8.819,5.3,4.3,3.233,4.116,3.2,7.365,3.772
45,3.713,2.678,8.503,6.694,3.025,2.891,3.59,3.715,7.591,3.706
46,4.316,3.04,8.741,6.149,3.746,3.155,3.581,3.227,7.863,3.872
47,3.769,3.011,9.163,6.209,3.785,3.295,3.334,3.251,7.218,3.957
48,5.454,2.692,9.072,5.868,3.685,2.754,3.281,3.082,7.486,3.399
49,4.283,3.116,8.936,5.924,5.423,3.017,3.153,3.311,7.638,3.652
50,4.397,2.838,8.611,5.573,3.716,3.169,3.279,3.123,8.045,3.866
51,5.019,2.732,8.846,7.248,3.009,3.031,4.071,3.124,7.422,3.654
52,5.209,2.64,8.515,5.558,3.415,3.234,3.673,4.158,7.517,3.555
53,4.617,2.955,8.975,7.203,2.993,3.331,4.096,3.114,7.892,3.914
54,5.656,2.825,7.904,6.695,3.244,3.113,3.475,3.553,7.793,3.375
55,5.162,3.051,9.036,5.936,4.061,2.871,4.013,3.15,7.91,3.556
56,5.073,3.878,8.539,5.528,3.786,3.235,3.777,3.58,7.03,3.559
57,5.174,2.64,8.806,5.706,3.042,3.235,3.602,2.863,7.649,3.911
58,4.984,2.862,8.906,7.196,4.559,2.895,3.197,3.243,7.705,3.887
59,5.415,2.788,8.823,5.423,3.613,3.356,4.1,3.016,8.06,3.702
60,4.758,2.842,8.748,7.783,3.027,2.984,3.661,3.062,6.904,3.429
61,5.375,2.705,8.97,6.3,3.45,2.781,3.769,3.061,7.357,3.871
62,4.93,2.701,8.968,6.466,4.934,3.161,3.803,3.013,8.018,3.733
63,3.591,2.933,9.671,6.312,4.384,3.81,3.558,3.037,6.174,3.827
64,3.84,2.859,9.278,7.542,3.052,3.036,3.433,3.101,7.54,4.29
65,5.021,3.394,9.061,6.324,3.915,3.177,3.577,2.999,7.835,3.93
66,4.195,3.2,8.346,7.208,3.298,3.482,3.447,3.614,7.688,3.358
67,3.248,2.755,8.624,6.28,4.062,3.167,3.48,3.318,7.309,3.656
68,4.444,2.847,8.63,6.434,3.691,3.041,3.526,3.448,7.215,4.01
69,4.106,2.897,9.25,6.092,3.786,3.326,4.252,3.055,6.719,3.616
70,4.232,2.575,8.742,6.163,3.835,3.2,3.593,3.227,6.631,4.024
71,4.683,2.842,8.891,6.606,2.953,3.822,3.701,3.134,7.383,3.851
72,3.756,2.802,8.806,5.413,3.459,3.517,3.84,3.309,6.594,3.866
73,4.306,2.911,8.723,6.034,3.31,3.144,3.271,3.122,8.115,4.052
74,4.977,2.662,9.658,6.093,3.236,2.645,3.92,2.878,7.613,3.527
75,5.752,2.746,8.244,5.382,3.149,3.214,3.404,2.995,7.426,3.558
76,4.059,2.582,8.563,5.966,3.054,3.02,3.791,3.193,7.029,3.632
77,4.133,2.81,8.91,5.303,3.652,3.215,3.552,3.753,7.68,3.413
78,4.98,2.812,8.489,5.338,3.379,3.235,3.551,3.49,8.141,3.586
79,3.396,2.723,9.037,7.117,3.17,2.999,3.503,3.133,8.204,3.368
80,5.197,2.539,8.652,7.774,3.2,2.984,3.559,3.36,7.945,3.75
81,4.55,2.689,8.727,4.905,4.275,3.036,3.654,3.23,7.326,3.895
82,5.643,2.923,8.857,6.198,3.541,3.982,3.544,3.134,8.173,3.57
83,4.948,2.677,9.916,6.546,3.793,2.967,3.172,3.173,7.135,3.444
84,3.954,2.7,9.417,5.402,3.034,2.913,3.685,3.082,7.191,3.968
85,4.723,2.852,8.893,5.811,4.161,3.041,3.84,3.353,7.563,3.779
86,5.202,2.8,8.776,5.823,3.282,3.268,4.245,3.111,7.758,3.836
87,3.053,2.758,8.394,7.962,3.822,2.953,3.506,3.062,6.821,3.676
88,4.203,2.546,9.104,5.641,3.235,3.355,3.77,3.212,7.634,3.427
89,3.982,2.859,8.745,6.62,3.23,3.475,3.855,3.198,7.399,3.604
90,4.191,2.812,8.725,5.695,4.113,2.996,3.175,3.356,7.384,3.679
91,4.692,3.028,8.899,6.507,3.142,3.121,3.635,3.402,7.961,3.806
92,4.816,2.727,10.049,6.09,3.076,2.836,3.534,3.185,7.598,3.541
93,4.931,2.909,8.806,5.534,3.135,3.141,3.113,3.162,7.441,4.332
94,5.224,2.799,8.881,6.227,4.325,3.394,3.323,3.105,7.819,3.675
95,3.94,2.939,8.995,5.368,4.176,3.135,3.286,3.443,6.813,3.567
96,4.025,2.897,8.843,6.102,3.118,2.692,3.697,3.388,7.682,3.729
97,3.234,2.77,9.504,6.732,4.058,3.27,3.923,3.433,7.847,3.939
98,4.602,2.807,9.452,5.708,2.973,3.094,3.619,2.87,7.514,5.009
99,4.572,2.745,8.106,5.359,3.526,2.938,3.341,3.278,7.205,3.267
100,5.426,2.804,9.295,6.387,3.636,3.066,3.815,3.409,7.25,5.041
101,5.065,2.762,9.059,7.023,3.087,2.685,3.377,3.379,6.858,3.525
102,4.826,3.295,9.507,7.197,3.154,3.349,3.997,3.06,7.378,4.113
103,5.092,2.804,8.287,6.61,3.183,2.992,4.02,3.036,7.768,3.741
104,4.135,2.787,8.971,6.218,3.091,2.894,3.747,3.592,7.266,3.507
105,6.231,2.746,8.41,6.091,3.351,3.175,3.682,3.108,8.301,3.803
106,5.425,2.722,8.855,5.842,5.407,2.958,3.278,2.873,7.086,3.701
107,4.171,3.0,8.58,5.913,3.578,2.765,3.475,2.954,6.734,3.562
108,4.186,2.75,8.989,6.379,3.045,2.846,3.949,3.205,7.081,3.694
109,6.192,2.954,8.735,5.715,4.961,3.169,3.787,3.445,8.48,3.621
110,6.454,2.773,8.564,5.902,3.038,3.234,3.862,3.352,7.839,3.359
111,5.182,2.905,7.744,5.384,4.13,2.983,3.379,3.466,6.94,3.471
112,5.128,2.787,9.056,5.683,2.992,3.121,3.782,3.485,8.177,3.762
113,5.945,3.188,9.691,6.112,4.144,2.836,3.604,3.461,7.432,3.299
